<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GTN,20201215,16.4615,17.2308,16.4308,17.2308,6555140
GTN,20201216,17.4770,17.5077,17.1385,17.2000,2818650
GTN,20201217,16.9231,17.7846,16.9231,17.3231,3803680
GTN,20201218,17.6000,17.9693,17.3231,17.3231,4128740
GTN,20201221,17.3231,17.3231,16.6154,17.0154,6432950
GTN,20201222,17.1692,17.4154,16.8923,17.1692,2842620
GTN,20201223,17.3538,17.3538,16.9230,16.9231,2599820
GTN,20201224,16.9846,17.0462,15.8154,16.2462,3017080
GTN,20201225,16.8000,16.8924,15.8770,16.8000,2343000
GTN,20201228,17.0769,17.0769,16.4000,16.5846,2452920
GTN,20201229,16.5846,16.9231,16.3692,16.5846,2823000
GTN,20201230,16.5846,16.6769,16.4615,16.5538,1702500
GTN,20201231,16.8000,16.8307,16.4615,16.8000,1841500
GTN,20210104,16.8615,17.5385,16.7692,17.2308,4106700
GTN,20210105,17.2308,17.4770,17.0462,17.3231,2306600
GTN,20210106,17.6000,17.6616,17.1385,17.1692,2786700
GTN,20210107,17.4154,17.5384,17.1077,17.3231,3223500
GTN,20210108,17.3846,17.7846,17.1693,17.3538,3432900
GTN,20210111,18.0615,18.1538,17.2307,18.0615,4442400
GTN,20210112,18.1538,18.1538,17.8461,18.0308,2702300
GTN,20210113,18.0308,18.4308,17.7231,18.0923,4388500
GTN,20210114,18.0923,18.0923,17.7538,17.9077,2273400
GTN,20210115,18.0615,18.0615,17.7846,17.8769,2278400
GTN,20210118,17.8769,18.7692,17.8154,18.4000,5250000
GTN,20210119,18.4000,18.4000,17.1385,17.1385,2534000
GTN,20210120,16.9847,17.2308,15.9693,16.8000,3279200
GTN,20210121,16.9846,17.1077,16.5231,16.8615,2477700
GTN,20210122,16.8000,16.8615,16.4615,16.5231,2281200
GTN,20210125,16.2462,16.5231,16.1231,16.2154,1984700
GTN,20210126,16.1846,16.1846,15.2616,15.4154,2504400
GTN,20210127,15.1692,15.5077,14.3385,14.4000,2577400
GTN,20210128,13.4769,13.9692,13.4154,13.4154,3488700
GTN,20210129,12.5846,14.2462,12.5846,14.0308,2185300
GTN,20210201,13.7231,14.3693,13.4770,13.7231,1360600
GTN,20210202,13.8462,14.1539,13.4769,14.0308,1099300
GTN,20210203,14.5231,14.8308,14.2154,14.4923,1465300
GTN,20210204,14.5846,14.7692,14.3385,14.4923,1192900
GTN,20210205,14.5231,14.7385,14.4000,14.6462,1190200
GTN,20210208,14.4308,14.8308,14.0000,14.4308,1542800
GTN,20210209,14.4000,14.5539,14.2154,14.5231,978900
GTN,20210217,14.6462,15.5385,14.5231,15.5385,2991100
GTN,20210218,15.5077,15.9385,15.3231,15.5077,1171300
GTN,20210219,15.3846,15.5692,15.2000,15.3846,1171200
GTN,20210222,15.3846,15.4769,15.0769,15.2000,1839500
GTN,20210223,15.2000,15.4462,15.2000,15.2615,1722800
GTN,20210224,15.3230,15.9384,15.3230,15.4769,2192300
GTN,20210225,15.5692,15.6000,15.3231,15.5077,1059600
GTN,20210226,15.1385,15.5077,15.1385,15.5077,1247300
GTN,20210301,16.1231,16.5846,15.8769,16.5846,4501000
GTN,20210302,17.4154,17.4154,16.6769,16.8308,2378900
GTN,20210303,16.6154,16.8308,16.4616,16.5231,1704800
GTN,20210304,16.5539,16.6154,15.5693,15.8769,1984900
GTN,20210305,15.5692,15.9077,15.3538,15.8769,2030900
GTN,20210308,16.0000,16.1231,15.7846,15.8462,1040700
GTN,20210309,15.8462,16.2462,15.5693,15.8462,967900
GTN,20210310,15.8770,16.0000,15.7539,15.8462,913800
GTN,20210311,15.7847,15.9693,15.7847,15.9077,896200
GTN,20210312,15.9077,16.2769,15.9077,16.0000,1070700
GTN,20210315,15.3846,15.6615,15.3231,15.4462,2378200
GTN,20210316,15.3847,15.4462,14.8308,15.0769,1559400
GTN,20210317,14.7692,14.9846,14.5846,14.6462,2132700
GTN,20210318,14.6462,14.8924,14.6462,14.8308,1225100
GTN,20210319,14.8308,15.3539,14.8308,15.2000,1065300
GTN,20210322,15.2000,15.2000,14.8000,14.8615,679300
GTN,20210323,14.8000,14.8307,14.5538,14.6154,1098700
GTN,20210324,14.2769,14.5231,13.9077,13.9385,1080000
GTN,20210325,13.9693,14.0923,13.7231,13.8154,1235100
GTN,20210326,13.7231,13.8154,13.1385,13.5077,938200
GTN,20210329,13.7231,13.8462,13.5077,13.8462,944300
GTN,20210330,13.8462,14.0308,13.7847,13.9692,555100
GTN,20210331,13.9692,13.9692,13.5384,13.6615,871900
GTN,20210401,13.7230,14.0307,13.6000,13.8462,656200
GTN,20210402,14.1539,14.1539,13.9077,14.0000,666700
GTN,20210405,14.1231,14.1538,13.8462,13.9385,497000
GTN,20210406,13.9077,13.9385,13.7231,13.7538,523300
GTN,20210407,13.7230,13.8461,13.5692,13.7231,645100
GTN,20210408,13.7231,13.7539,13.6000,13.6615,571500
GTN,20210409,13.6615,13.8153,13.6615,13.7231,598200
GTN,20210412,13.7846,13.7846,13.6308,13.6615,783100
GTN,20210413,13.6615,13.7230,13.5384,13.6000,913000
GTN,20210414,13.4769,13.5077,13.3231,13.4462,761700
GTN,20210415,13.4462,13.4770,13.1385,13.1692,1010600
GTN,20210416,12.9846,13.1077,12.3077,12.5538,1032900
GTN,20210419,12.4307,12.6154,12.0615,12.6154,1730700
