<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
RAL,20081229,8.0107,8.2559,7.9289,8.0106,30370,19.6000,20.2000,19.4000,19.6000,0,0,0
RAL,20081226,7.7654,8.2559,7.6837,8.1333,83050,19.0000,20.2000,18.8000,19.9000,0,0,0
RAL,20081225,8.0924,8.0924,7.9697,8.0515,22580,19.8000,19.8000,19.5000,19.7000,0,0,0
RAL,20081224,8.2150,8.3784,8.1741,8.1741,13920,20.1000,20.5000,20.0000,20.0000,0,0,0
RAL,20081223,8.4193,8.5828,8.3785,8.5828,15240,20.6000,21.0000,20.5000,21.0000,0,0,0
RAL,20081222,8.7463,8.7463,8.6646,8.7463,230790,21.4000,21.4000,21.2000,21.4000,0,0,135510
RAL,20081219,8.3376,8.3376,8.2968,8.3376,217440,20.4000,20.4000,20.3000,20.4000,0,0,150000
RAL,20081218,7.8063,8.1741,7.7654,7.9698,54140,19.1000,20.0000,19.0000,19.5000,0,0,22340
RAL,20081217,8.2967,8.4193,8.1741,8.1741,45970,20.3000,20.6000,20.0000,20.0000,0,0,22460
RAL,20081216,8.1741,8.5828,8.1741,8.5828,3740,20.0000,21.0000,20.0000,21.0000,0,0,0
RAL,20081215,8.7463,8.7463,8.5829,8.5828,24750,21.4000,21.4000,21.0000,21.0000,0,0,0
RAL,20081212,8.2559,8.3785,8.2559,8.3785,25620,20.2000,20.5000,20.2000,20.5000,0,1000,0
RAL,20081211,8.1332,8.1332,8.0106,8.0924,10780,19.9000,19.9000,19.6000,19.8000,0,0,6000
RAL,20081210,8.1741,8.2558,8.1741,8.1741,23310,20.0000,20.2000,20.0000,20.0000,0,5000,7300
RAL,20081209,9.1550,9.1550,8.5419,8.5828,24190,22.4000,22.4000,20.9000,21.0000,0,0,0
